,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value", 
Counterparty, ,Reference Entity, ,Fixed Receive Rate, , ,MaturityDate, , ,"Implied CreditSpread
atDecember 31, 2016 (2)", , ,NotionalAmount (3), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation/(Depreciation), , ,Asset, , ,Liability, 
BOA, , Anheuser-Busch InBev S.A., , ,1.000,% , , ,12/20/2017, , , ,0.312,% , , ,EUR, , , ,"20,900", , ,$,106, , ,$,52, , ,$,158, , ,$,0, 
, , Brazil Government International Bond, , ,1.000, , , ,03/20/2017, , , ,0.621, , , ,$, , , ,"8,600", , , ,(7,) , , ,18, , , ,11, , , ,0, 
, ," Citigroup, Inc.", , ,1.000, , , ,12/20/2020, , , ,0.612, , ,,,, , ,"2,100", , , ,(4,) , , ,36, , , ,32, , , ,0, 
, , Colombia Government International Bond, , ,1.000, , , ,06/20/2019, , , ,0.892, , ,,,, , ,"28,400", , , ,125, , , ,(39,) , , ,86, , , ,0, 
, , Deutsche Bank AG, , ,1.000, , , ,12/20/2017, , , ,0.934, , , ,EUR, , , ,"3,900", , , ,(55,) , , ,59, , , ,4, , , ,0, 
, ," Goldman Sachs Group, Inc.", , ,1.000, , , ,12/20/2021, , , ,0.893, , , ,$, , , ,"22,100", , , ,(10,) , , ,129, , , ,119, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,09/20/2017, , , ,0.467, , ,,,, , ,"25,000", , , ,(53,) , , ,160, , , ,107, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2018, , , ,0.708, , ,,,, , ,"171,300", , , ,(104,) , , ,"1,145", , , ,"1,041", , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,09/20/2020, , , ,1.182, , ,,,, , ,"43,700", , , ,(864,) , , ,597, , , ,0, , , ,(267,) 
, , Morgan Stanley, , ,1.000, , , ,12/20/2020, , , ,0.714, , ,,,, , ,"35,000", , , ,(49,) , , ,445, , , ,396, , , ,0, 
BPS, , Deutsche Bank AG, , ,1.000, , , ,12/20/2017, , , ,0.934, , , ,EUR, , , ,"15,000", , , ,(234,) , , ,250, , , ,16, , , ,0, 
, ," Goldman Sachs Group, Inc.", , ,1.000, , , ,12/20/2020, , , ,0.725, , , ,$, , , ,"40,000", , , ,(124,) , , ,560, , , ,436, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,09/20/2017, , , ,0.467, , ,,,, , ,"19,500", , , ,(41,) , , ,124, , , ,83, , , ,0, 
, , Morgan Stanley, , ,1.000, , , ,12/20/2020, , , ,0.714, , ,,,, , ,"9,800", , , ,(12,) , , ,123, , , ,111, , , ,0, 
, , Petrobras Global Finance BV, , ,1.000, , , ,06/20/2018, , , ,2.166, , ,,,, , ,"2,900", , , ,(213,) , , ,165, , , ,0, , , ,(48,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,12/20/2019, , , ,3.483, , ,,,, , ,"47,700", , , ,"(3,287",) , , ,(7,) , , ,0, , , ,"(3,294",) 
, , Petrobras Global Finance BV, , ,1.000, , , ,03/20/2020, , , ,3.710, , ,,,, , ,"1,800", , , ,(179,) , , ,33, , , ,0, , , ,(146,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,09/20/2020, , , ,4.072, , ,,,, , ,"10,000", , , ,"(1,589",) , , ,548, , , ,0, , , ,"(1,041",) 
, , Royal Bank of Scotland PLC, , ,1.000, , , ,12/20/2017, , , ,0.670, , , ,EUR, , , ,"61,200", , , ,131, , , ,103, , , ,234, , , ,0, 
BRC, ," Citigroup, Inc.", , ,1.000, , , ,12/20/2020, , , ,0.612, , , ,$, , , ,"16,100", , , ,(6,) , , ,252, , , ,246, , , ,0, 
, ," Goldman Sachs Group, Inc.", , ,1.000, , , ,12/20/2020, , , ,0.725, , ,,,, , ,"20,000", , , ,53, , , ,165, , , ,218, , , ,0, 
, ," Goldman Sachs Group, Inc.", , ,1.000, , , ,06/20/2021, , , ,0.819, , ,,,, , ,"7,300", , , ,(61,) , , ,120, , , ,59, , , ,0, 
