,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value 
(4)", 
Counterparty, ,Index/Tranches, ," Fixed
Receive Rate", , ,MaturityDate, , ,NotionalAmount (3), , ," Premiums
(Received)", , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
DUB, , CMBX.NA.BBB-.7 Index, , ,3.000,% , , ,01/17/2047, , ,$,700, , ,$,(68,) , ,$,29, , ,$,0, , ,$,(39,) 
GST, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"18,000", , , ,(655,) , , ,262, , , ,0, , , ,(393,) 
, , CMBX.NA.BBB-.7 Index, , ,3.000, , , ,01/17/2047, , , ,100, , , ,(8,) , , ,2, , , ,0, , , ,(6,) 
, , CMBX.NA.BBB-.9 Index, , ,3.000, , , ,09/17/2058, , , ,200, , , ,(35,) , , ,9, , , ,0, , , ,(26,) 
MEI, , CMBX.NA.BBB-.7 Index, , ,3.000, , , ,01/17/2047, , , ,"5,000", , , ,(304,) , , ,23, , , ,0, , , ,(281,) 
MYC, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"5,800", , , ,(219,) , , ,92, , , ,0, , , ,(127,) 
, , CMBX.NA.BBB-.6 Index, , ,3.000, , , ,05/11/2063, , , ,"4,300", , , ,(297,) , , ,56, , , ,0, , , ,(241,) 
, , CMBX.NA.BBB-.9 Index, , ,3.000, , , ,09/17/2058, , , ,"  4,700", , , ,(818,) , , ,204, , , ,0, , , ,(614,) 
, ," MCDX-24 10-Year
Index", , ,1.000, , , ,06/20/2025, , , ,"5,750", , , ,(169,) , , ,189, , , ,20, , , ,0, 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,,,, ,,,, ,,,, ,$,"(2,573",) , ,$,866, , ,$,20, , ,$,"(1,727",) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
