,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , , ,  , , , , , , ,Variation Margin, 
Index/Tranches, ,FixedReceive Rate, , ,MaturityDate, , ,NotionalAmount (3), ,  ,MarketValue (4), , ,UnrealizedAppreciation/(Depreciation), , ,Asset, , ,Liability, 
 CDX.EM-20 5-Year Index, , ,5.000,% , , ,12/20/2018, , ,$,"25,300", ,  ,$,832, , ,$,279, , ,$,26, , ,$,0, 
 CDX.EM-21 5-Year Index, , ,5.000, , , ,06/20/2019, , , ,"68,172", ,  , ,"2,935", , , ,"1,271", , , ,40, , , ,0, 
 CDX.EM-24 5-Year Index, , ,1.000, , , ,12/20/2020, , , ,"32,316", ,  , ,"(1,754",) , , ,607, , , ,0, , , ,(8,) 
 CDX.EM-25 5-Year Index, , ,1.000, , , ,06/20/2021, , , ,"4,100", ,  , ,(237,) , , ,45, , , ,0, , , ,(2,) 
 CDX.EM-26 5-Year Index, , ,1.000, , , ,12/20/2021, , , ,"256,700", ,  , ,"(16,015",) , , ,341, , , ,0, , , ,(125,) 
 CDX.HY-19 5-Year Index, , ,5.000, , , ,12/20/2017, , , ,"140,304", ,  , ,"5,016", , , ,381, , , ,95, , , ,0, 
 CDX.HY-20 5-Year Index, , ,5.000, , , ,06/20/2018, , , ,"85,056", ,  , ,"4,733", , , ,"1,623", , , ,63, , , ,0, 
 CDX.HY-21 5-Year Index, , ,5.000, , , ,12/20/2018, , , ,"1,663", ,  , ,107, , , ,45, , , ,1, , , ,0, 
 CDX.HY-24 5-Year Index, , ,5.000, , , ,06/20/2020, , , ,"2,267,617", ,  , ,"184,957", , , ,"86,169", , , ,"1,876", , , ,0, 
 CDX.HY-25 5-Year Index, , ,5.000, , , ,12/20/2020, , , ,"3,726,538", ,  , ,"261,732", , , ,"166,318", , , ,"1,505", , , ,0, 
 CDX.HY-26 5-Year Index, , ,5.000, , , ,06/20/2021, , , ,"109,640", ,  , ,"(7,831",) , , ,(340,) , , ,0, , , ,(92,) 
 CDX.HY-27 5-Year Index, , ,5.000, , , ,12/20/2021, , , ,"  2,203,800", ,  , ,"  (140,616",) , , ,"(6,827",) , , ,0, , , ,"(2,643",) 
, ,,,, ,,,, ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,,,, ,,,, ,,,,  ,$,"293,859", , ,$,"  249,912", , ,$,"  3,606", , ,$,"  (2,870",) 
, ,,,, ,,,, ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
