,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value", 
Counterparty, ,Reference Entity, ,Fixed Receive Rate, , ,MaturityDate, , ,"Implied CreditSpread atDecember 31, 
2016 (2)", , ,NotionalAmount (3), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation/(Depreciation), , ,Asset, , ,Liability, 
BOA, , Mexico Government International Bond, , ,1.000,% , , ,03/20/2019, , , ,0.796,% , ,$,"1,000", , ,$,4, , ,$,1, , ,$,5, , ,$,0, 
, , Mexico Government International Bond, , ,1.000, , , ,09/20/2019, , , ,0.925, , , ,200, , , ,1, , , ,0, , , ,1, , , ,0, 
BPS, , Petrobras Global Finance BV, , ,1.000, , , ,03/20/2020, , , ,3.710, , , ,200, , , ,(22,) , , ,6, , , ,0, , , ,(16,) 
, , Royal Bank of Scotland PLC, , ,1.000, , , ,12/20/2017, , , ,0.670, , ,EUR,"  3,000", , , ,6, , , ,5, , , ,11, , , ,0, 
GST, , Petrobras Global Finance BV, , ,1.000, , , ,03/20/2020, , , ,3.710, , ,$,100, , , ,(10,) , , ,2, , , ,0, , , ,(8,) 
HUS, , Mexico Government International Bond, , ,1.000, , , ,09/20/2019, , , ,0.925, , , ,100, , , ,1, , , ,(1,) , , ,0, , , ,0, 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,, ,,,, ,,,, ,,,, ,$,  (20,) , ,$,  13, , ,$,  17, , ,$,  (24,) 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
