,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value(6)", 
Counterparty, ,Index/Tranches, ,Fixed Receive Rate, , ,MaturityDate, ,  ,NotionalAmount (5), , ,Premiums(Received), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
 DUB, ,CMBX.NA.AAA.6 Index, , ,0.500,% , , ,05/11/2063, ,  ,$,"1,599", , ,$,(34,) , ,$,34, , ,$,0, , ,$,0, 
 GST, ,CMBX.NA.AAA.7 Index, , ,0.500, , , ,01/17/2047, ,  , ,600, , , ,(19,) , , ,16, , , ,0, , , ,(3,) 
, ,CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, ,  , ,"8,800", , , ,(419,) , , ,319, , , ,0, , , ,(100,) 
, ,CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, ,  , ,"8,400", , , ,(529,) , , ,345, , , ,0, , , ,(184,) 
 MEI, ,CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, ,  , ,"11,900", , , ,(618,) , , ,482, , , ,0, , , ,(136,) 
, ,, ,,,, ,,,,  ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,,,, ,,,,  ,,,, ,$,"  (1,619",) , ,$,"  1,196", , ,$,  0, , ,$,  (423,) 
, ,, ,,,, ,,,,  ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
