,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,Variation Margin, 
Index/Tranches, ,Fixed Receive Rate, , ,MaturityDate, , ,NotionalAmount (2), ,  ,MarketValue (3), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
" CDX.HY-23 5-Year
Index", , ,5.000,% , , ,12/20/2019, , ,$,"48,500", ,  ,$,"3,906", , ,$,786, , ,$,39, , ,$,0, 
" CDX.HY-25 5-Year
Index", , ,5.000, , , ,12/20/2020, , , ,"163,350", ,  , ,"11,473", , , ,"11,647", , , ,66, , , ,0, 
" CDX.HY-26 5-Year
Index", , ,5.000, , , ,06/20/2021, , , ,"100,000", ,  , ,"7,143", , , ,"3,786", , , ,84, , , ,0, 
" CDX.HY-27 5-Year
Index", , ,5.000, , , ,12/20/2021, , , ,"  300,000", ,  , ,"19,142", , , ,"3,195", , , ,368, , , ,0, 
, ,,,, ,,,, ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,,,, ,,,, ,,,,  ,$,"41,664", , ,$,"19,414", , ,$,557, , ,$,0, 
, ,,,, ,,,, ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
 Total Swap Agreements,  ,  ,$,"  41,664", , ,$,"  19,414", , ,$,  557, , ,$,  0, 
, ,,,, ,,,, ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
