,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,Variation Margin, 
Reference Entity, ,FixedReceive Rate, , ,MaturityDate, , ,"Implied CreditSpread
atDecember 31, 2016 (2)", , ,NotionalAmount (3), , ,MarketValue (4), , ,UnrealizedAppreciation/(Depreciation), , ,Asset, , ,Liability, 
 Anadarko Petroleum Corp., , ,1.000,% , , ,06/20/2017, , , ,0.200,% , ,$,"2,300", , ,$,10, , ,$,0, , ,$,0, , ,$,0, 
" Berkshire Hathaway, Inc.", , ,1.000, , , ,12/20/2021, , , ,0.836, , , ,300, , , ,2, , , ,0, , , ,0, , , ,0, 
" Communications Sales & Leasing, Inc.", , ,5.000, , , ,12/20/2017, , , ,0.329, , , ,"1,150", , , ,55, , , ,524, , , ,0, , , ,0, 
 Ford Motor Credit Co. LLC, , ,5.000, , , ,12/20/2018, , , ,0.566, , , ,"5,300", , , ,469, , , ,(17,) , , ,2, , , ,0, 
 Ford Motor Credit Co. LLC, , ,5.000, , , ,12/20/2019, , , ,0.898, , , ,800, , , ,96, , , ,(2,) , , ,0, , , ,0, 
 Jaguar Land Rover Limited, , ,5.000, , , ,03/20/2018, , , ,0.700, , ,EUR,"  4,700", , , ,272, , , ,10, , , ,0, , , ,(2,) 
 Navient Corp., , ,5.000, , , ,12/20/2021, , , ,3.595, , ,$,550, , , ,35, , , ,23, , , ,1, , , ,0, 
" NRG Energy, Inc.", , ,5.000, , , ,06/20/2017, , , ,0.367, , , ,"4,800", , , ,115, , , ,"2,213", , , ,2, , , ,0, 
" Sprint Communications, Inc.", , ,5.000, , , ,12/20/2021, , , ,3.462, , , ,"5,000", , , ,345, , , ,350, , , ,12, , , ,0, 
 Volkswagen International Finance NV, , ,1.000, , , ,12/20/2020, , , ,0.842, , ,EUR,300, , , ,2, , , ,1, , , ,0, , , ,0, 
, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,,,, ,,,, ,,,, ,,,, ,$,"  1,401", , ,$,"  3,102", , ,$,  17, , ,$,  (2,) 
, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
