3712479,C,B-Counterparty
3712479,r,I-Counterparty
3712479,e,I-Counterparty
3712479,d,I-Counterparty
3712479,i,I-Counterparty
3712479,t,I-Counterparty
3712479, ,I-Counterparty
3712479,S,I-Counterparty
3712479,u,I-Counterparty
3712479,i,I-Counterparty
3712479,s,I-Counterparty
3712479,s,I-Counterparty
3712479,e,I-Counterparty
3712479, ,I-Counterparty
3712479,F,I-Counterparty
3712479,i,I-Counterparty
3712479,r,I-Counterparty
3712479,s,I-Counterparty
3712479,t,I-Counterparty
3712479, ,I-Counterparty
3712479,B,I-Counterparty
3712479,o,I-Counterparty
3712479,s,I-Counterparty
3712479,t,I-Counterparty
3712479,o,I-Counterparty
3712479,n,I-Counterparty
3712479, ,I-Counterparty
3712479,d,O
3712479,a,O
3712479,t,O
3712479,e,O
3712479,d,O
3712479, ,O
3712479,F,O
3712479,e,O
3712479,b,O
3712479,r,O
3712479,u,O
3712479,a,O
3712479,r,O
3712479,y,O
3712479, ,O
3712479,6,O
3712479,",",O
3712479, ,O
3712479,2,O
3712479,0,O
3712479,0,O
3712479,4,O
3712479, ,O
3712479,a,O
3712479,n,O
3712479,d,O
3712479, ,O
3712479,F,O
3712479,e,O
3712479,b,O
3712479,r,O
3712479,u,O
3712479,a,O
3712479,r,O
3712479,y,O
3712479, ,O
3712479,1,O
3712479,2,O
3712479,",",O
3712479, ,O
3712479,2,O
3712479,0,O
3712479,0,O
3712479,4,O
3712481,o,O
3712481,f,O
3712481, ,B-Notional Amount
3712481,$,I-Notional Amount
3712481,7,I-Notional Amount
3712481,",",I-Notional Amount
3712481,8,I-Notional Amount
3712481,0,I-Notional Amount
3712481,0,I-Notional Amount
3712481,",",I-Notional Amount
3712481,0,I-Notional Amount
3712481,0,I-Notional Amount
3712481,0,I-Notional Amount
3712481, ,I-Notional Amount
3712481,a,O
3712481,n,O
3712481,d,O
3712481, ,B-Notional Amount
3712481,$,I-Notional Amount
3712481,3,I-Notional Amount
3712481,",",I-Notional Amount
3712481,9,I-Notional Amount
3712481,0,I-Notional Amount
3712481,0,I-Notional Amount
3712481,",",I-Notional Amount
3712481,0,I-Notional Amount
3712481,0,I-Notional Amount
3712481,0,I-Notional Amount
3712481,",",O
3712481, ,O
3712481,r,O
3712481,e,O
3712481,s,O
3712481,p,O
3712481,e,O
3712481,c,O
3712481,t,O
3712481,i,O
3712481,v,O
3712481,e,O
3712481,l,O
3712481,y,O
3712481,.,O
3712481, ,O
3712481,T,O
3712481,h,O
3712481,e,O
3712481, ,O
3712481,P,O
3712481,o,O
3712481,r,O
3712481,t,O
3712481,f,O
3712481,o,O
3712481,l,O
3712481,i,O
3712481,o,O
3712481, ,B-Direction of Trade
3712481,m,I-Direction of Trade
3712481,a,I-Direction of Trade
3712481,k,I-Direction of Trade
3712481,e,I-Direction of Trade
3712481,s,I-Direction of Trade
3712481, ,I-Direction of Trade
3712481,p,I-Direction of Trade
3712481,a,I-Direction of Trade
3712481,y,I-Direction of Trade
3712481,m,I-Direction of Trade
3712481,e,I-Direction of Trade
3712481,n,I-Direction of Trade
3712481,t,I-Direction of Trade
3712481, ,I-Direction of Trade
3712481,o,O
3712481,n,O
3712481,l,O
3712481,y,O
3712482,u,O
3712482,p,O
3712482,o,O
3712482,n,O
3712482, ,O
3712482,a,O
3712482, ,O
3712482,d,O
3712482,e,O
3712482,f,O
3712482,a,O
3712482,u,O
3712482,l,O
3712482,t,O
3712482, ,O
3712482,e,O
3712482,v,O
3712482,e,O
3712482,n,O
3712482,t,O
3712482, ,O
3712482,o,O
3712482,n,O
3712482, ,O
3712482,u,B-Reference Entity
3712482,n,I-Reference Entity
3712482,d,I-Reference Entity
3712482,e,I-Reference Entity
3712482,r,I-Reference Entity
3712482,l,I-Reference Entity
3712482,y,I-Reference Entity
3712482,i,I-Reference Entity
3712482,n,I-Reference Entity
3712482,g,I-Reference Entity
3712482, ,I-Reference Entity
3712482,l,I-Reference Entity
3712482,o,I-Reference Entity
3712482,a,I-Reference Entity
3712482,n,I-Reference Entity
3712482, ,I-Reference Entity
3712482,a,I-Reference Entity
3712482,s,I-Reference Entity
3712482,s,I-Reference Entity
3712482,e,I-Reference Entity
3712482,t,I-Reference Entity
3712482,s,I-Reference Entity
3712482, ,O
3712482,(,O
3712482,5,O
3712482,0,O
3712482, ,O
3712482,i,O
3712482,n,O
3712482, ,O
3712482,t,O
3712482,o,O
3712482,t,O
3712482,a,O
3712482,l,O
3712482,",",O
3712482, ,O
3712482,e,O
3712482,a,O
3712482,c,O
3712482,h,O
