3709053,$,B-Notional Amount
3709053,5,I-Notional Amount
3709053,",",I-Notional Amount
3709053,0,I-Notional Amount
3709053,0,I-Notional Amount
3709053,0,I-Notional Amount
3709053,",",I-Notional Amount
3709053,0,I-Notional Amount
3709053,0,I-Notional Amount
3709053,0,I-Notional Amount
3709053, ,O
3709053, ,O
3709053, ,O
3709053, ,O
3709053, ,O
3709053,A,O
3709053,g,O
3709053,r,O
3709053,e,O
3709053,e,O
3709053,m,O
3709053,e,O
3709053,n,O
3709053,t,O
3709053, ,O
3709053,w,O
3709053,i,O
3709053,t,O
3709053,h,O
3709053, ,O
3709053,J,B-Counterparty
3709053,.,I-Counterparty
3709053,P,I-Counterparty
3709053,.,I-Counterparty
3709053, ,I-Counterparty
3709053,M,I-Counterparty
3709053,o,I-Counterparty
3709053,r,I-Counterparty
3709053,g,I-Counterparty
3709053,a,I-Counterparty
3709053,n,I-Counterparty
3709053, ,I-Counterparty
3709053,C,I-Counterparty
3709053,h,I-Counterparty
3709053,a,I-Counterparty
3709053,s,I-Counterparty
3709053,e,I-Counterparty
3709053, ,I-Counterparty
3709053,B,I-Counterparty
3709053,a,I-Counterparty
3709053,n,I-Counterparty
3709053,k,I-Counterparty
3709053, ,O
3709053,d,O
3709053,a,O
3709053,t,O
3709053,e,O
3709053,d,O
3709054,D,O
3709054,e,O
3709054,c,O
3709054,e,O
3709054,m,O
3709054,b,O
3709054,e,O
3709054,r,O
3709054, ,O
3709054,4,O
3709054,",",O
3709054, ,O
3709054,2,O
3709054,0,O
3709054,0,O
3709054,3,O
3709054,",",O
3709054, ,O
3709054,t,O
3709054,e,O
3709054,r,O
3709054,m,O
3709054,i,O
3709054,n,O
3709054,a,O
3709054,t,O
3709054,i,O
3709054,n,O
3709054,g,O
3709054, ,O
3709054,o,O
3709054,n,O
3709054, ,O
3709054,M,B-Expiration Date
3709054,a,I-Expiration Date
3709054,r,I-Expiration Date
3709054,c,I-Expiration Date
3709054,h,I-Expiration Date
3709054, ,I-Expiration Date
3709054,2,I-Expiration Date
3709054,0,I-Expiration Date
3709054,",",I-Expiration Date
3709054, ,I-Expiration Date
3709054,2,I-Expiration Date
3709054,0,I-Expiration Date
3709054,0,I-Expiration Date
3709054,9,I-Expiration Date
3709054,",",O
3709056,a,O
3709056,m,O
3709056,o,O
3709056,u,O
3709056,n,O
3709056,t,O
3709056,.,O
3709056, ,O
3709056,T,O
3709056,h,O
3709056,e,O
3709056, ,O
3709056,F,O
3709056,u,O
3709056,n,O
3709056,d,O
3709056, ,O
3709056,p,B-Direction of Trade
3709056,a,I-Direction of Trade
3709056,y,I-Direction of Trade
3709056,s,I-Direction of Trade
3709056, ,O
3709056,o,O
3709056,n,O
3709056,l,O
3709056,y,O
3709056, ,O
3709056,u,O
3709056,p,O
3709056,o,O
3709056,n,O
3709056, ,O
3709056,a,O
3709056, ,O
3709056,d,O
3709056,e,O
3709056,f,O
3709056,a,O
3709056,u,O
3709056,l,O
3709056,t,O
3709056, ,O
3709056,e,O
3709056,v,O
3709056,e,O
3709056,n,O
3709056,t,O
3709057,o,O
3709057,f,O
3709057, ,B-Reference Entity
3709057,T,I-Reference Entity
3709057,R,I-Reference Entity
3709057,A,I-Reference Entity
3709057,C,I-Reference Entity
3709057,-,I-Reference Entity
3709057,X,I-Reference Entity
3709057, ,I-Reference Entity
3709057,N,I-Reference Entity
3709057,A,I-Reference Entity
3709057, ,I-Reference Entity
3709057,H,I-Reference Entity
3709057,i,I-Reference Entity
3709057,g,I-Reference Entity
3709057,h,I-Reference Entity
3709057, ,I-Reference Entity
3709057,Y,I-Reference Entity
3709057,i,I-Reference Entity
3709057,e,I-Reference Entity
3709057,l,I-Reference Entity
3709057,d,I-Reference Entity
3709057, ,I-Reference Entity
3709057,D,I-Reference Entity
3709057,e,I-Reference Entity
3709057,b,I-Reference Entity
3709057,t,I-Reference Entity
3709057, ,I-Reference Entity
3709057,I,I-Reference Entity
3709057,n,I-Reference Entity
3709057,d,I-Reference Entity
3709057,e,I-Reference Entity
3709057,x,I-Reference Entity
3709057, ,I-Reference Entity
3709057,S,I-Reference Entity
3709057,e,I-Reference Entity
3709057,r,I-Reference Entity
3709057,i,I-Reference Entity
3709057,e,I-Reference Entity
3709057,s,I-Reference Entity
3709057, ,I-Reference Entity
3709057,2,I-Reference Entity
3709057,-,I-Reference Entity
3709057,B,I-Reference Entity
3709057,",",O
